no,category,korean_search,title,authors,status,file_path,legal_source_url,notes
1,사업·경영·전략,퍼스널 MBA,The Personal MBA: Master the Art of Business,Josh Kaufman,need_legal_copy,,,
2,사업·경영·전략,좋은 기업을 넘어 위대한 기업으로,Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,need_legal_copy,,,
3,사업·경영·전략,성공하는 기업들의 8가지 습관,Built to Last: Successful Habits of Visionary Companies,"Jim Collins; Jerry I. Porras",need_legal_copy,,,
4,사업·경영·전략,위대한 기업의 선택,"Great by Choice: Uncertainty, Chaos, and Luck: Why Some Thrive Despite Them All","Jim Collins; Morten T. Hansen",need_legal_copy,,,
5,사업·경영·전략,혁신 기업의 딜레마,The Innovator’s Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,need_legal_copy,,,
6,사업·경영·전략,운을 뛰어넘는 혁신,"Competing Against Luck: The Story of Innovation and Customer Choice","Clayton M. Christensen; Taddy Hall; Karen Dillon; David S. Duncan",need_legal_copy,,,
7,사업·경영·전략,하드씽,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,need_legal_copy,,,
8,사업·경영·전략,하이 아웃풋 매니지먼트,High Output Management,Andrew S. Grove,need_legal_copy,,,
9,사업·경영·전략,피터 드러커의 자기경영노트,The Effective Executive: The Definitive Guide to Getting the Right Things Done,Peter F. Drucker,need_legal_copy,,,
10,사업·경영·전략,플레이 투 윈,Playing to Win: How Strategy Really Works,"A.G. Lafley; Roger L. Martin",need_legal_copy,,,
11,사업·경영·전략,좋은 전략 나쁜 전략,Good Strategy/Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,need_legal_copy,,,
12,사업·경영·전략,경쟁 전략,Competitive Strategy: Techniques for Analyzing Industries and Competitors,Michael E. Porter,need_legal_copy,,,
13,사업·경영·전략,블루오션 전략,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,"W. Chan Kim; Renée Mauborgne",need_legal_copy,,,
14,사업·경영·전략,비즈니스 모델의 탄생,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers","Alexander Osterwalder; Yves Pigneur",need_legal_copy,,,
15,사업·경영·전략,밸류 프로포지션 디자인,Value Proposition Design: How to Create Products and Services Customers Want,"Alexander Osterwalder; Yves Pigneur; Greg Bernarda; Alan Smith",need_legal_copy,,,
16,사업·경영·전략,비즈니스 아이디어 테스트,Testing Business Ideas,"David J. Bland; Alexander Osterwalder",need_legal_copy,,,
17,사업·경영·전략,무적의 회사,The Invincible Company: How to Constantly Reinvent Your Organization with Inspiration From the World's Best Business Models,"Alexander Osterwalder; Yves Pigneur; Frederic Etiemble; Alan Smith",need_legal_copy,,,
18,사업·경영·전략,OKR 전설적인 벤처투자자가 구글에 전해준 성공 방식,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,need_legal_copy,,,
19,사업·경영·전략,더 골,The Goal: A Process of Ongoing Improvement,"Eliyahu M. Goldratt; Jeff Cox",need_legal_copy,,,
20,사업·경영·전략,리워크,Rework,"Jason Fried; David Heinemeier Hansson",need_legal_copy,,,
21,창업·스타트업·제품,린 스타트업,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,need_legal_copy,,,
22,창업·스타트업·제품,제로 투 원,"Zero to One: Notes on Startups, or How to Build the Future","Peter Thiel; Blake Masters",need_legal_copy,,,
23,창업·스타트업·제품,스타트업 오너스 매뉴얼,The Startup Owner's Manual: The Step-By-Step Guide for Building a Great Company,"Steve Blank; Bob Dorf",need_legal_copy,,,
24,창업·스타트업·제품,깨달음의 네 단계,The Four Steps to the Epiphany: Successful Strategies for Products that Win,Steve Blank,need_legal_copy,,,
25,창업·스타트업·제품,맘 테스트,The Mom Test: How to Talk to Customers & Learn If Your Business Is a Good Idea When Everyone Is Lying to You,Rob Fitzpatrick,need_legal_copy,,,
26,창업·스타트업·제품,창업자의 딜레마,The Founder’s Dilemmas: Anticipating and Avoiding the Pitfalls That Can Sink a Startup,Noam Wasserman,need_legal_copy,,,
27,창업·스타트업·제품,디시플린드 엔터프리너십,Disciplined Entrepreneurship: 24 Steps to a Successful Startup,Bill Aulet,need_legal_copy,,,
28,창업·스타트업·제품,러닝 린,Running Lean: Iterate from Plan A to a Plan That Works,Ash Maurya,need_legal_copy,,,
29,창업·스타트업·제품,트랙션,Traction: How Any Startup Can Achieve Explosive Customer Growth,"Gabriel Weinberg; Justin Mares",need_legal_copy,,,
30,창업·스타트업·제품,해킹 그로스,Hacking Growth: How Today's Fastest-Growing Companies Drive Breakout Success,"Sean Ellis; Morgan Brown",need_legal_copy,,,
31,창업·스타트업·제품,캐즘 마케팅,Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Geoffrey A. Moore,need_legal_copy,,,
32,창업·스타트업·제품,인스파이어드,Inspired: How to Create Tech Products Customers Love,Marty Cagan,need_legal_copy,,,
33,창업·스타트업·제품,임파워드,"Empowered: Ordinary People, Extraordinary Products","Marty Cagan; Chris Jones",need_legal_copy,,,
34,창업·스타트업·제품,지속적 발견 습관,Continuous Discovery Habits: Discover Products that Create Customer Value and Business Value,Teresa Torres,need_legal_copy,,,
35,창업·스타트업·제품,훅,Hooked: How to Build Habit-Forming Products,Nir Eyal,need_legal_copy,,,
36,창업·스타트업·제품,스프린트,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,"Jake Knapp; John Zeratsky; Braden Kowitz",need_legal_copy,,,
37,창업·스타트업·제품,셰이프 업,Shape Up: Stop Running in Circles and Ship Work that Matters,Ryan Singer,need_legal_copy,,,
38,창업·스타트업·제품,린 애널리틱스,Lean Analytics: Use Data to Build a Better Startup Faster,"Alistair Croll; Benjamin Yoskovitz",need_legal_copy,,,
39,창업·스타트업·제품,콜드 스타트 문제,The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,need_legal_copy,,,
40,창업·스타트업·제품,오브비어슬리 어썸,"Obviously Awesome: How to Nail Product Positioning so Customers Get It, Buy It, Love It",April Dunford,need_legal_copy,,,
41,마케팅·브랜딩·바이럴,마케팅이다,This Is Marketing: You Can't Be Seen Until You Learn to See,Seth Godin,need_legal_copy,,,
42,마케팅·브랜딩·바이럴,보랏빛 소가 온다,Purple Cow: Transform Your Business by Being Remarkable,Seth Godin,need_legal_copy,,,
43,마케팅·브랜딩·바이럴,퍼미션 마케팅,Permission Marketing: Turning Strangers into Friends and Friends into Customers,Seth Godin,need_legal_copy,,,
44,마케팅·브랜딩·바이럴,모든 마케터는 거짓말쟁이다,All Marketers Are Liars: The Power of Telling Authentic Stories in a Low-Trust World,Seth Godin,need_legal_copy,,,
45,마케팅·브랜딩·바이럴,포지셔닝,Positioning: The Battle for Your Mind,"Al Ries; Jack Trout",need_legal_copy,,,
46,마케팅·브랜딩·바이럴,마케팅 불변의 법칙,The 22 Immutable Laws of Marketing: Violate Them at Your Own Risk!,"Al Ries; Jack Trout",need_legal_copy,,,
47,마케팅·브랜딩·바이럴,차별화하거나 죽거나,Differentiate or Die: Survival in Our Era of Killer Competition,"Jack Trout; Steve Rivkin",need_legal_copy,,,
48,마케팅·브랜딩·바이럴,스토리브랜드,Building a StoryBrand: Clarify Your Message So Customers Will Listen,Donald Miller,need_legal_copy,,,
49,마케팅·브랜딩·바이럴,스틱,Made to Stick: Why Some Ideas Survive and Others Die,"Chip Heath; Dan Heath",need_legal_copy,,,
50,마케팅·브랜딩·바이럴,컨테이저스,Contagious: Why Things Catch On,Jonah Berger,need_legal_copy,,,
51,마케팅·브랜딩·바이럴,설득의 심리학,Influence: The Psychology of Persuasion,Robert B. Cialdini,need_legal_copy,,,
52,마케팅·브랜딩·바이럴,프리-수에이션,Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert Cialdini,need_legal_copy,,,
53,마케팅·브랜딩·바이럴,바이올로지,Buyology: Truth and Lies About Why We Buy,Martin Lindstrom,need_legal_copy,,,
54,마케팅·브랜딩·바이럴,브랜드는 어떻게 성장하는가,How Brands Grow: What Marketers Don’t Know,Byron Sharp,need_legal_copy,,,
55,마케팅·브랜딩·바이럴,롱 앤 쇼트,The Long and the Short of It: Balancing Short and Long-Term Marketing Strategies,"Les Binet; Peter Field",need_legal_copy,,,
56,마케팅·브랜딩·바이럴,초이스 팩토리,The Choice Factory: 25 Behavioral Biases That Influence What We Buy,Richard Shotton,need_legal_copy,,,
57,마케팅·브랜딩·바이럴,디코디드,Decoded: The Science Behind Why We Buy,Phil Barden,need_legal_copy,,,
58,마케팅·브랜딩·바이럴,버즈의 해부학,The Anatomy of Buzz: How to Create Word of Mouth Marketing,Emanuel Rosen,need_legal_copy,,,
59,마케팅·브랜딩·바이럴,워드 오브 마우스 마케팅,Word of Mouth Marketing: How Smart Companies Get People Talking,Andy Sernovitz,need_legal_copy,,,
60,마케팅·브랜딩·바이럴,아이디어바이러스,Unleashing the Ideavirus: Stop Marketing at People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing for You,Seth Godin,need_legal_copy,,,
61,마케팅·브랜딩·바이럴,그로스 해커 마케팅,"Growth Hacker Marketing: A Primer on the Future of PR, Marketing, and Advertising",Ryan Holiday,need_legal_copy,,,
62,마케팅·브랜딩·바이럴,킬링 마케팅,Killing Marketing: How Innovative Businesses Are Turning Marketing Cost Into Profit,"Joe Pulizzi; Robert Rose",need_legal_copy,,,
63,마케팅·브랜딩·바이럴,콘텐츠 Inc.,Content Inc.: How Entrepreneurs Use Content to Build Massive Audiences and Create Radically Successful Businesses,Joe Pulizzi,need_legal_copy,,,
64,마케팅·브랜딩·바이럴,에브리바디 라이트,Everybody Writes: Your Go-To Guide to Creating Ridiculously Good Content,Ann Handley,need_legal_copy,,,
65,마케팅·브랜딩·바이럴,오길비 온 애드버타이징,Ogilvy on Advertising,David Ogilvy,need_legal_copy,,,
66,홍보·PR·카피라이팅·세일즈,믿어줘 나는 거짓말쟁이야,"Trust Me, I'm Lying: Confessions of a Media Manipulator",Ryan Holiday,need_legal_copy,,,
67,홍보·PR·카피라이팅·세일즈,마케팅과 PR의 새로운 규칙,The New Rules of Marketing & PR,David Meerman Scott,need_legal_copy,,,
68,홍보·PR·카피라이팅·세일즈,스핀 석스,Spin Sucks: Communication and Reputation Management in the Digital Age,Gini Dietrich,need_legal_copy,,,
69,홍보·PR·카피라이팅·세일즈,광고의 몰락과 PR의 부상,The Fall of Advertising and the Rise of PR,"Al Ries; Laura Ries",need_legal_copy,,,
70,홍보·PR·카피라이팅·세일즈,PR 마스터클래스,The PR Masterclass: How to Develop a Public Relations Strategy that Works!,Alex Singleton,need_legal_copy,,,
71,홍보·PR·카피라이팅·세일즈,검증된 광고 방법,Tested Advertising Methods,John Caples,need_legal_copy,,,
72,홍보·PR·카피라이팅·세일즈,과학적 광고,Scientific Advertising,Claude C. Hopkins,need_legal_copy,,,
73,홍보·PR·카피라이팅·세일즈,브레이크스루 애드버타이징,Breakthrough Advertising,Eugene M. Schwartz,need_legal_copy,,,
74,홍보·PR·카피라이팅·세일즈,카피라이터의 핸드북,The Copywriter's Handbook: A Step-By-Step Guide to Writing Copy That Sells,Robert W. Bly,need_legal_copy,,,
75,홍보·PR·카피라이팅·세일즈,애드위크 카피라이팅 핸드북,The Adweek Copywriting Handbook,Joseph Sugarman,need_legal_copy,,,
76,홍보·PR·카피라이팅·세일즈,캐시버타이징,Cashvertising: How to Use More Than 100 Secrets of Ad-Agency Psychology to Make Big Money Selling Anything to Anyone,Drew Eric Whitman,need_legal_copy,,,Corrected from malformed supplied title
77,홍보·PR·카피라이팅·세일즈,광고인의 고백,Confessions of an Advertising Man,David Ogilvy,need_legal_copy,,,
78,홍보·PR·카피라이팅·세일즈,헤이 휘플 스퀴즈 디스,Hey Whipple Squeeze This: The Classic Guide to Creating Great Ads,Luke Sullivan,need_legal_copy,,,
79,홍보·PR·카피라이팅·세일즈,얼티밋 세일즈 머신,The Ultimate Sales Machine: Turbocharge Your Business with Relentless Focus on 12 Key Strategies,Chet Holmes,need_legal_copy,,,
80,홍보·PR·카피라이팅·세일즈,스핀 셀링,SPIN Selling,Neil Rackham,need_legal_copy,,,
81,홍보·PR·카피라이팅·세일즈,파는 것이 인간이다,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,need_legal_copy,,,
82,홍보·PR·카피라이팅·세일즈,챌린저 세일,The Challenger Sale: Taking Control of the Customer Conversation,"Matthew Dixon; Brent Adamson",need_legal_copy,,,
83,홍보·PR·카피라이팅·세일즈,피치 애니씽,"Pitch Anything: An Innovative Method for Presenting, Persuading, and Winning the Deal",Oren Klaff,need_legal_copy,,,
84,홍보·PR·카피라이팅·세일즈,네버 스플릿 더 디퍼런스,Never Split the Difference: Negotiating As If Your Life Depended On It,"Chris Voss; Tahl Raz",need_legal_copy,,,
85,홍보·PR·카피라이팅·세일즈,스토리워디,"Storyworthy: Engage, Teach, Persuade, and Change Your Life through the Power of Storytelling",Matthew Dicks,need_legal_copy,,,
86,프리랜서·1인 사업·생산성·개인 브랜딩,컴퍼니 오브 원,Company of One: Why Staying Small Is the Next Big Thing for Business,Paul Jarvis,need_legal_copy,,,
87,프리랜서·1인 사업·생산성·개인 브랜딩,100달러로 세상에 뛰어들어라,"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,need_legal_copy,,,Corrected from malformed supplied title
88,프리랜서·1인 사업·생산성·개인 브랜딩,4시간,The 4-Hour Workweek: Escape 9-5 Live Anywhere and Join the New Rich,Timothy Ferriss,need_legal_copy,,,
89,프리랜서·1인 사업·생산성·개인 브랜딩,이-마이스 리비지티드,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,need_legal_copy,,,
90,프리랜서·1인 사업·생산성·개인 브랜딩,밀리언 달러 원 퍼슨 비즈니스,The Million-Dollar One-Person Business: Make Great Money. Work the Way You Like. Have the Life You Want.,Elaine Pofeldt,need_legal_copy,,,
91,프리랜서·1인 사업·생산성·개인 브랜딩,프리랜서 바이블,The Freelancer's Bible: Everything You Need to Know to Have the Career of Your Dreams—On Your Terms,"Sara Horowitz; Toni Sciarra Poynter",need_legal_copy,,,
92,프리랜서·1인 사업·생산성·개인 브랜딩,북 유어셀프 솔리드,Book Yourself Solid: The Fastest Easiest and Most Reliable System for Getting More Clients Than You Can Handle,Michael Port,need_legal_copy,,,
93,프리랜서·1인 사업·생산성·개인 브랜딩,윈 위드아웃 피칭 선언문,The Win Without Pitching Manifesto,Blair Enns,need_legal_copy,,,
94,프리랜서·1인 사업·생산성·개인 브랜딩,비즈니스 오브 엑스퍼티즈,The Business of Expertise: How Entrepreneurial Experts Convert Insight to Impact + Wealth,David C. Baker,need_legal_copy,,,
95,프리랜서·1인 사업·생산성·개인 브랜딩,펌킨 플랜,The Pumpkin Plan: A Simple Strategy to Grow a Remarkable Business in Any Field,Mike Michalowicz,need_legal_copy,,,
96,프리랜서·1인 사업·생산성·개인 브랜딩,프로핏 퍼스트,Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine,Mike Michalowicz,need_legal_copy,,,
97,프리랜서·1인 사업·생산성·개인 브랜딩,아주 작은 습관의 힘,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,need_legal_copy,,,
98,프리랜서·1인 사업·생산성·개인 브랜딩,딥 워크,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,need_legal_copy,,,
99,프리랜서·1인 사업·생산성·개인 브랜딩,보여줘라,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,need_legal_copy,,,
100,프리랜서·1인 사업·생산성·개인 브랜딩,훔쳐라 아티스트처럼,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,need_legal_copy,,,
