챕터,회차,에피소드,게시일,URL
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),프롤로그,프롤로그,2012/11/22 17:00,https://ncode.syosetu.com/n9669bk/1/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제1화,「설마: 이세계」,2012/11/22 18:15,https://ncode.syosetu.com/n9669bk/2/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제2화,「얼빠는 메이드씨」,2012/11/24 02:42,https://ncode.syosetu.com/n9669bk/3/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제3화,「마술교본」,2012/11/24 17:02,https://ncode.syosetu.com/n9669bk/4/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제4화,「스승」,2012/11/25 19:49,https://ncode.syosetu.com/n9669bk/5/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제5화,「검술과 마술」,2012/11/26 17:32,https://ncode.syosetu.com/n9669bk/6/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제6화,「존경의 이유」,2012/11/27 15:26,https://ncode.syosetu.com/n9669bk/7/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제7화,「친구」,2012/11/28 16:50,https://ncode.syosetu.com/n9669bk/8/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제8화,「둔감」,2012/11/29 16:07,https://ncode.syosetu.com/n9669bk/9/
본편 — 무직전생 ~이세계에 가서 진심으로 해보겠습니다~ / 제1장 유아기 (제1~11화),제9화,「긴급 가족회의」,2012/11/30 14:07,https://ncode.syosetu.com/n9669bk/10/
